four,"[[154, 1], [206, 1]]"
trigram,"[[179, 1]]"
go,"[[39, 1], [54, 1], [69, 1], [116, 1], [126, 1], [152, 1], [232, 1], [255, 1], [260, 1], [262, 1], [322, 1], [334, 1], [370, 1], [395, 1], [396, 1], [403, 1], [405, 1], [421, 1], [440, 1]]"
follow,"[[34, 1], [85, 1], [193, 1]]"
content,"[[180, 1], [235, 1]]"
decid,"[[100, 1], [102, 1], [110, 1]]"
accur,"[[180, 1], [298, 1], [301, 1], [350, 1], [374, 1]]"
depend,"[[71, 1], [137, 1], [417, 1]]"
penal,"[[248, 1]]"
sorri,"[[258, 1]]"
inaud,"[[32, 1], [174, 1], [333, 1], [408, 1]]"
0,"[[225, 1], [266, 1], [321, 1], [390, 1], [431, 1]]"
decis,"[[131, 1], [268, 1], [323, 1]]"
sens,"[[107, 1], [269, 1], [424, 1]]"
introduc,"[[327, 1], [390, 1]]"
everi,"[[39, 1], [112, 1], [154, 1], [255, 1], [302, 1], [418, 1]]"
dictat,"[[344, 1]]"
relev,"[[335, 1]]"
tri,"[[415, 1]]"
unigram,"[[210, 1]]"
level,"[[116, 1]]"
p,"[[45, 1]]"
vector,"[[356, 1]]"
small,"[[40, 1], [61, 1], [120, 1], [256, 1], [279, 2], [309, 1], [377, 1], [416, 1]]"
smaller,"[[141, 1], [276, 1], [387, 1]]"
natur,"[[16, 1], [129, 1]]"
naiv,"[[4, 1], [36, 1], [120, 1], [229, 1], [230, 1], [269, 1], [281, 1], [294, 1], [300, 1], [307, 1], [371, 1], [418, 1]]"
consequ,"[[172, 1]]"
second,"[[67, 1], [151, 1], [380, 1]]"
video,"[[189, 1]]"
aggreg,"[[54, 1], [114, 1]]"
even,"[[171, 1], [234, 1]]"
what,"[[225, 1]]"
sub,"[[31, 1], [42, 1], [56, 1], [218, 1], [282, 1], [304, 1], [365, 1], [428, 1], [439, 1]]"
compar,"[[263, 1]]"
outsmart,"[[145, 1]]"
neg,"[[38, 1], [184, 1], [381, 1]]"
sum,"[[151, 1], [169, 1], [233, 1], [237, 1], [295, 1], [321, 1], [358, 1], [365, 1]]"
uniform,"[[162, 1], [303, 1]]"
gener,"[[1, 1], [14, 1], [62, 1], [69, 1], [72, 1], [93, 1], [94, 1], [95, 1], [102, 1], [103, 1], [113, 1], [117, 1], [123, 1], [139, 1], [140, 1], [168, 1], [178, 1], [202, 1], [207, 1], [211, 1], [219, 1], [221, 1], [230, 1], [240, 1], [261, 1], [267, 1], [298, 1], [299, 1], [309, 1], [311, 1], [335, 1], [340, 1], [353, 1], [356, 1], [369, 1], [384, 1], [392, 1], [398, 1], [404, 1], [433, 1]]"
infin,"[[122, 1], [338, 1], [438, 1]]"
water,"[[163, 1]]"
intercept,"[[218, 1]]"
let,"[[17, 1], [92, 1], [122, 1], [160, 1], [264, 1], [273, 1], [302, 1], [414, 1]]"
address,"[[145, 1]]"
strong,"[[175, 1]]"
valu,"[[42, 2], [91, 1]]"
seudocount,"[[47, 1]]"
k,"[[237, 1], [345, 1], [410, 2], [445, 1]]"
larger,"[[12, 1], [13, 1], [20, 1], [23, 1], [324, 1], [332, 1]]"
precis,"[[198, 1], [249, 1], [307, 1]]"
prior,"[[20, 1], [45, 1], [81, 1], [125, 1], [156, 1], [166, 1], [187, 1], [201, 1], [280, 1], [373, 1], [385, 1], [394, 1], [426, 1], [446, 1]]"
amount,"[[40, 1], [255, 1], [360, 1]]"
pick,"[[91, 1]]"
typic,"[[19, 1]]"
extra,"[[302, 1]]"
appli,"[[232, 1]]"
moral,"[[117, 1]]"
total,"[[142, 1], [410, 1]]"
use,"[[1, 1], [6, 1], [13, 1], [16, 1], [47, 1], [102, 1], [171, 1], [178, 1], [181, 1], [189, 1], [202, 1], [207, 1], [219, 1], [226, 1], [259, 1], [261, 1], [267, 1], [272, 1], [286, 1], [290, 1], [299, 1], [313, 1], [340, 1], [351, 1], [359, 1], [363, 1], [378, 1], [419, 1]]"
would,"[[9, 1], [20, 1], [35, 1], [40, 1], [41, 1], [59, 1], [96, 1], [122, 1], [124, 1], [131, 1], [136, 1], [179, 1], [189, 1], [193, 1], [336, 1], [338, 1], [366, 1], [370, 1], [380, 1], [386, 1], [431, 1], [432, 1]]"
distinct,"[[162, 1]]"
two,"[[63, 1], [100, 1], [165, 1], [177, 1], [192, 1], [196, 1], [242, 1], [263, 1], [295, 1], [303, 1], [330, 1], [369, 1], [413, 1], [425, 1], [437, 1], [442, 1]]"
next,"[[260, 1]]"
call,"[[240, 1], [284, 1], [300, 1], [316, 1], [418, 1]]"
thru,"[[190, 1]]"
tell,"[[214, 1], [306, 1]]"
relat,"[[166, 1], [182, 1], [215, 1], [216, 1], [385, 1], [425, 1]]"
probabilist,"[[72, 1], [207, 1]]"
train,"[[2, 1], [9, 1], [19, 1], [52, 1], [181, 1], [218, 1], [259, 1], [262, 1], [279, 1], [286, 1], [363, 1], [439, 1]]"
So,"[[3, 1], [8, 1], [12, 1], [16, 1], [17, 1], [23, 1], [28, 1], [31, 1], [38, 1], [42, 1], [43, 1], [44, 1], [53, 1], [54, 1], [68, 1], [78, 1], [81, 1], [94, 1], [109, 1], [112, 1], [124, 1], [127, 1], [136, 1], [145, 1], [149, 1], [151, 1], [159, 1], [160, 1], [179, 1], [190, 1], [196, 1], [197, 1], [213, 1], [224, 1], [246, 1], [259, 1], [273, 1], [281, 1], [283, 1], [286, 1], [289, 1], [293, 1], [295, 1], [300, 1], [313, 1], [322, 1], [329, 1], [330, 1], [331, 1], [339, 1], [342, 1], [344, 1], [359, 1], [368, 1], [370, 1], [403, 1], [407, 1], [408, 1], [410, 1], [415, 1], [422, 1], [424, 1], [435, 1], [443, 1], [446, 1]]"
particular,"[[393, 1]]"
known,"[[70, 1], [139, 1], [168, 1], [203, 1], [211, 1], [433, 1], [445, 1]]"
must,"[[18, 1]]"
logarithm,"[[190, 1], [309, 1]]"
topic,"[[33, 1], [83, 1], [91, 1], [99, 1], [125, 1], [178, 1], [236, 1], [280, 1], [293, 1], [370, 1], [372, 1], [434, 1]]"
account,"[[133, 1]]"
word,"[[15, 1], [27, 1], [39, 1], [47, 1], [48, 1], [52, 1], [53, 1], [55, 1], [57, 1], [62, 1], [68, 1], [70, 1], [76, 2], [87, 1], [90, 1], [95, 1], [101, 1], [105, 1], [108, 1], [112, 1], [116, 1], [121, 1], [128, 1], [134, 1], [137, 1], [141, 1], [143, 1], [148, 1], [151, 1], [154, 1], [165, 1], [169, 1], [178, 1], [182, 1], [197, 1], [208, 1], [213, 1], [216, 1], [224, 1], [231, 1], [233, 1], [234, 1], [236, 1], [248, 1], [256, 1], [263, 1], [267, 1], [268, 1], [271, 1], [276, 1], [301, 1], [304, 1], [308, 1], [317, 1], [323, 1], [340, 1], [346, 1], [347, 1], [348, 1], [349, 1], [361, 1], [364, 1], [381, 1], [387, 1], [388, 2], [392, 1], [405, 1], [408, 1], [412, 1], [418, 1], [422, 1], [430, 1], [434, 1], [439, 1]]"
